species,decimallongitude,decimallatitude
Oryctolagus,-71.69947,41.338339
Oryctolagus,-71.809167,41.321944
Oryctolagus,-71.734167,41.318611
Oryctolagus,-71.735889,41.330761
Oryctolagus,-71.725278,41.338611
Oryctolagus,-71.670833,41.358889
Oryctolagus,-71.786944,41.325833
Oryctolagus,-71.685278,41.334444
Oryctolagus,-71.781111,41.335278
Oryctolagus,-71.716944,41.333611
Oryctolagus,-71.719167,41.351944
Oryctolagus,-71.791389,41.331111
Oryctolagus,-71.7975,41.330278
Oryctolagus,-71.73188,41.31496
Oryctolagus,-71.74295,41.31506
Oryctolagus,-71.55406,41.34214
Oryctolagus,-71.54426,41.32242
Oryctolagus,-71.6209,41.3494
Oryctolagus,-71.5452,41.36206
Oryctolagus,-71.54223,41.3447
Oryctolagus,-71.55,41.33333
Oryctolagus,-71.70321,41.31707
Oryctolagus,-71.54747,41.32818
Oryctolagus,-71.78797,41.31359
Oryctolagus,-71.6293,41.3559
Oryctolagus,-71.69808331,41.3147
Oryctolagus,-71.71499634,41.34700012
Oryctolagus,-71.73000336,41.33000183
Oryctolagus,-71.73000336,41.33000183
Oryctolagus,-71.71499634,41.34700012
Oryctolagus,-71.65000153,41.36999893
Oryctolagus,-71.62999725,41.36000061
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.614652,41.369227
Oryctolagus,-71.78801,41.339525
Oryctolagus,-71.789505,41.33028
Oryctolagus,-71.41083333,41.354
Oryctolagus,-71.40513334,41.33193334
Oryctolagus,-71.41000366,41.45999908
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.54303,41.33587
Oryctolagus,-71.50925,41.32544
Oryctolagus,-71.441,41.44
Oryctolagus,-71.54666667,41.32616667
Oryctolagus,-71.437,41.404
Oryctolagus,-71.71499634,41.34700012
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.5,41.36700058
Oryctolagus,-71.43333,41.4
Oryctolagus,-71.8,41.4
Oryctolagus,-71.51000214,41.40000153
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.49038,41.33914
Oryctolagus,-71.529,41.3497
Oryctolagus,-71.53878,41.34318
Oryctolagus,-71.51,41.3568
Oryctolagus,-71.51121,41.34036
Oryctolagus,-71.5158,41.3499
Oryctolagus,-71.49939,41.33715
Oryctolagus,-71.50803,41.3409
Oryctolagus,-71.4203,41.36956
Oryctolagus,-71.51778,41.34834
Oryctolagus,-71.4401,41.4378
Oryctolagus,-71.4976,41.3496
Oryctolagus,-71.66331,41.3203
Oryctolagus,-71.48588,41.33893
Oryctolagus,-71.4941,41.3498
Oryctolagus,-71.6343,41.35
Oryctolagus,-71.54564,41.33693
Oryctolagus,-71.5045,41.34737
Oryctolagus,-71.54649,41.3257
Oryctolagus,-71.53276,41.32424
Oryctolagus,-71.5211,41.33763
Oryctolagus,-71.4985,41.3569
Oryctolagus,-71.4806,41.3566
Oryctolagus,-71.45564,41.32938
Oryctolagus,-71.48,41.33
Oryctolagus,-71.38389,41.4056
Oryctolagus,-71.41667,41.36667
Oryctolagus,-71.41667,41.36667
Oryctolagus,-71.416667,41.4
Oryctolagus,-71.416667,41.4
Oryctolagus,-71.383333,41.4
Oryctolagus,-71.36667,41.4
Oryctolagus,-71.44844818,41.56869888
Oryctolagus,-71.388237,41.81710815
Oryctolagus,-71.37789154,41.83229828
Oryctolagus,-71.38931274,41.77645874
Oryctolagus,-71.54666667,41.32616667
Oryctolagus,-71.421,41.35333333
Oryctolagus,-71.65000153,41.36999893
Oryctolagus,-71.62999725,41.36000061
Oryctolagus,-71.40200043,41.4980011
Oryctolagus,-71.44000244,41.56999969
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41110992,41.49583054
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.39631653,41.49462128
Oryctolagus,-71.37789154,41.83229828
Oryctolagus,-71.37789154,41.83229828
Oryctolagus,-71.37789154,41.83229828
Oryctolagus,-71.40000153,41.63999939
Oryctolagus,-71.810278,41.321111
Oryctolagus,-71.802222,41.317222
Oryctolagus,-71.785278,41.317778
Oryctolagus,-71.77999878,41.31999969
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.78299713,41.31700134
Oryctolagus,-71.710556,41.341667
Oryctolagus,-71.713889,41.333611
Oryctolagus,-71.703333,41.336111
Oryctolagus,-71.750556,41.318056
Oryctolagus,-71.699443,41.338474
Oryctolagus,-71.69945,41.338567
Oryctolagus,-71.728056,41.34
Oryctolagus,-71.728056,41.338611
Oryctolagus,-71.699444,41.360833
Oryctolagus,-71.700278,41.338611
Oryctolagus,-71.712,41.332
Oryctolagus,-71.73000336,41.33000183
Oryctolagus,-71.731919,41.341219
Oryctolagus,-71.40931702,41.6207428
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.41132355,41.62131119
Oryctolagus,-71.40000153,41.63999939
Oryctolagus,-71.38300323,41.59999847
Oryctolagus,-71.381521,41.642583
Oryctolagus,-71.383333,41.4
Oryctolagus,-71.41667,41.4
Oryctolagus,-71.4,41.38333
Oryctolagus,-71.441,41.44
Oryctolagus,-71.39631653,41.49462128
Oryctolagus,-71.39631653,41.49462128
Oryctolagus,-71.43333333,41.55
Oryctolagus,-71.421,41.35333333
Oryctolagus,-71.36216667,41.41466667
Oryctolagus,-71.40825001,41.32814999
Oryctolagus,-71.43417358,41.40311813
Oryctolagus,-71.42873335,41.34438334
Oryctolagus,-71.39645001,41.34659999
Oryctolagus,-71.40513334,41.33193334
Oryctolagus,-71.40000153,41.5
Oryctolagus,-71.40000153,41.54000092
Oryctolagus,-71.40000153,41.5
Oryctolagus,-71.40200043,41.4980011
Oryctolagus,-71.40200043,41.4980011
Oryctolagus,-71.40000153,41.47000122
Oryctolagus,-71.40000153,41.5
Oryctolagus,-71.40200043,41.4980011
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.43299866,41.40000153
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.40000153,41.40000153
Oryctolagus,-71.40000153,41.38299942
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.38299942
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.41699982,41.40000153
Oryctolagus,-71.425,41.50778
Oryctolagus,-71.3667,41.3333
Oryctolagus,-71.3667,41.3333
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.4111,41.4958
Oryctolagus,-71.578192,41.429566
Oryctolagus,-71.361,41.479
Oryctolagus,-71.3632,41.4387
Oryctolagus,-71.366667,41.416667
Oryctolagus,-71.366667,41.4
Oryctolagus,-71.477273,41.381768
Oryctolagus,-71.474722,41.379444
Oryctolagus,-71.398611,41.561667
Oryctolagus,-71.441111,41.583889
Oryctolagus,-71.41879,41.36607
Oryctolagus,-71.41997,41.35428
Oryctolagus,-71.433333,41.383333
Oryctolagus,-71.3842,41.39586
Oryctolagus,-71.38389,41.4056
Oryctolagus,-71.43333,41.4
Oryctolagus,-71.41667,41.41667
Oryctolagus,-71.43333,41.38333
Oryctolagus,-71.38333,41.4
Oryctolagus,-71.41667,41.36667
Oryctolagus,-71.44909668,41.44869995
Oryctolagus,-71.44766667,41.386
Oryctolagus,-71.43865,41.38173332
Oryctolagus,-71.43417358,41.40311813
Oryctolagus,-71.43417358,41.40311813
